update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,128,1394.9989138738326,0,0.0,0.0,0,0,0.0,0.0,0,0,-0.1271558403968811,0.02746136300265789,2.0,1.9411340951919556,0.012897582724690437,-1.2839583158493042,1.4879817962646484,tensor(1.6474),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,256,1765.6568276968917,0,0.0,0.0,0,0,0.0,0.0,0,0,-0.624556839466095,0.028005648404359818,2.375,1.9225080013275146,-0.9609806537628174,-4.833223819732666,10.838532447814941,tensor(10.2089),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,384,1788.4370298810754,0,0.0,0.0,0,0,0.0,0.0,0,0,-0.200753852725029,0.022612132132053375,3.75,1.7973167896270752,-3.05905818939209,-1.241255521774292,3.5188956260681152,tensor(3.7306),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,512,1778.0302900840213,0,0.0,0.0,0,0,0.0,0.0,0,0,0.05111663043498993,0.017803983762860298,5.0,1.528623342514038,-4.94258975982666,0.6042225956916809,2.027730703353882,tensor(3.9382),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,640,1816.9880564383209,0,0.0,0.0,0,0,0.0,0.0,0,0,0.24232597649097443,0.014456904493272305,5.0,1.4968751668930054,-3.3469865322113037,1.2651140689849854,2.59013032913208,tensor(6.7480),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,768,1768.5126164468397,0,0.0,0.0,0,0,0.0,0.0,0,0,0.20632946491241455,0.011838402599096298,6.25,1.4067127704620361,-2.04349946975708,1.3314980268478394,3.1959714889526367,tensor(6.3050),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,896,1781.736007354332,0,0.0,0.0,0,0,0.0,0.0,0,0,0.35903340578079224,0.009578274562954903,7.0,1.512864112854004,-1.0377235412597656,1.9492110013961792,3.2333085536956787,tensor(6.2250),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,1024,1774.8033428541203,0,0.0,0.0,0,0,0.0,0.0,0,0,0.40870237350463867,0.007757700979709625,7.375,1.607569694519043,-0.3126622140407562,3.036180257797241,4.679782390594482,tensor(6.7493),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,1152,1797.1176005891411,0,0.0,0.0,0,0,0.0,0.0,0,0,0.45395997166633606,0.005615422502160072,9.0,1.7830116748809814,0.2138371616601944,3.0908823013305664,6.331923484802246,tensor(5.7989),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,1280,1792.3717812179707,0,0.0,0.0,0,0,0.0,0.0,0,0,0.47601833939552307,0.004125488456338644,9.5,1.7668836116790771,0.6711246967315674,3.223257541656494,6.436601638793945,tensor(7.1598),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
11,1408,1789.438481178047,0,0.0,0.0,0,0,0.0,0.0,0,0,0.5059522390365601,0.0029419800266623497,10.0,1.7437515258789062,1.388076663017273,2.9481403827667236,6.7604193687438965,tensor(10.9454),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
12,1536,1835.474934785656,0,0.0,0.0,0,0,0.0,0.0,0,0,0.59589684009552,0.002095296513289213,10.0,1.534704327583313,2.24604868888855,2.8706371784210205,7.864243984222412,tensor(12.6365),0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
13,1664,1732.8925671052123,0,20.162751942873,11.483255851272846,-2.4828004837036133,36.57630157470703,100.0,0.0,100.0,100.0,0.6304599642753601,0.0014450866729021072,10.0,1.429833173751831,3.0162620544433594,-0.234564870595932,6.316361904144287,tensor(2.8116),20.162751942873,11.483255851272846,-2.4828004837036133,36.57630157470703
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
14,1792,1804.8083047867494,1,20.162751942873,11.483255851272846,-2.4828004837036133,36.57630157470703,100.0,0.0,100.0,100.0,0.7531643509864807,0.001227848930284381,10.0,0.8431382775306702,2.932260274887085,2.1448895931243896,10.305109977722168,tensor(20.1922),20.162751942873,11.483255851272846,-2.4828004837036133,36.57630157470703
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,intrinsic_rewards,uncertainties,novel_states_visited,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
