U 23 | F 002944 | FPS 0191 | D 18 | rR:μσmM 1.02 0.22 0.68 1.46 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.128 | V 0.010 | pL 8.875
U 24 | F 003072 | FPS 0162 | D 19 | rR:μσmM 1.05 0.21 0.76 1.60 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.132 | V 0.010 | pL 9.000
U 25 | F 003200 | FPS 0175 | D 20 | rR:μσmM 1.07 0.23 0.66 1.44 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.134 | V 0.009 | pL 9.000
U 26 | F 003328 | FPS 0217 | D 20 | rR:μσmM 1.06 0.27 0.34 1.42 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.133 | V 0.010 | pL 9.000
U 27 | F 003456 | FPS 0193 | D 21 | rR:μσmM 0.93 0.25 0.43 1.36 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.116 | V 0.010 | pL 9.375
U 28 | F 003584 | FPS 0185 | D 22 | rR:μσmM 0.87 0.23 0.51 1.37 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.108 | V 0.010 | pL 10.000
U 29 | F 003712 | FPS 0175 | D 23 | rR:μσmM 1.05 0.22 0.76 1.59 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.131 | V 0.009 | pL 10.000
U 30 | F 003840 | FPS 0147 | D 23 | rR:μσmM 1.01 0.19 0.68 1.46 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.127 | V 0.011 | pL 11.000
U 31 | F 003968 | FPS 0151 | D 24 | rR:μσmM 0.86 0.21 0.46 1.22 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.108 | V 0.010 | pL 12.000
U 32 | F 004096 | FPS 0164 | D 25 | rR:μσmM 0.90 0.19 0.63 1.23 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.112 | V 0.011 | pL 12.000
U 33 | F 004224 | FPS 0226 | D 26 | rR:μσmM 0.80 0.18 0.44 1.01 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.101 | V 0.010 | pL 12.000
U 34 | F 004352 | FPS 0177 | D 26 | rR:μσmM 0.85 0.29 0.20 1.20 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.107 | V 0.010 | pL 12.000
U 35 | F 004480 | FPS 0210 | D 27 | rR:μσmM 0.87 0.29 -0.01 1.21 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.109 | V 0.008 | pL 12.000
U 36 | F 004608 | FPS 0157 | D 28 | rR:μσmM 0.78 0.34 -0.17 1.25 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.098 | V 0.009 | pL 12.000
U 37 | F 004736 | FPS 0188 | D 28 | rR:μσmM 0.78 0.31 -0.08 1.27 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.097 | V 0.009 | pL 12.000
U 38 | F 004864 | FPS 0167 | D 29 | rR:μσmM 0.78 0.20 0.41 1.05 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.097 | V 0.007 | pL 12.000
U 39 | F 004992 | FPS 0180 | D 30 | rR:μσmM 0.79 0.27 0.31 1.14 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.098 | V 0.007 | pL 12.000
U 40 | F 005120 | FPS 0218 | D 31 | rR:μσmM 0.87 0.28 0.14 1.35 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.108 | V 0.007 | pL 12.000
U 41 | F 005248 | FPS 0192 | D 31 | rR:μσmM 0.80 0.23 0.35 1.21 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.100 | V 0.007 | pL 12.250
U 42 | F 005376 | FPS 0172 | D 32 | rR:μσmM 0.71 0.36 -0.07 1.20 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.088 | V 0.007 | pL 13.000
U 43 | F 005504 | FPS 0160 | D 33 | rR:μσmM 0.87 0.18 0.54 1.23 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.108 | V 0.007 | pL 13.000
U 44 | F 005632 | FPS 0169 | D 34 | rR:μσmM 1.01 0.22 0.63 1.31 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.127 | V 0.005 | pL 13.000
U 45 | F 005760 | FPS 0191 | D 34 | rR:μσmM 0.96 0.15 0.70 1.26 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.120 | V 0.006 | pL 13.000
U 46 | F 005888 | FPS 0183 | D 35 | rR:μσmM 0.93 0.20 0.52 1.26 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.117 | V 0.005 | pL 13.000
U 47 | F 006016 | FPS 0172 | D 36 | rR:μσmM 0.89 0.17 0.45 1.16 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.111 | V 0.005 | pL 13.000
U 48 | F 006144 | FPS 0217 | D 36 | rR:μσmM 0.86 0.25 0.41 1.32 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.107 | V 0.005 | pL 13.000
U 49 | F 006272 | FPS 0150 | D 37 | rR:μσmM 0.84 0.28 0.28 1.19 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.105 | V 0.005 | pL 13.000
U 50 | F 006400 | FPS 0202 | D 38 | rR:μσmM 0.82 0.21 0.37 1.06 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.102 | V 0.005 | pL 13.000
U 51 | F 006528 | FPS 0222 | D 38 | rR:μσmM 0.87 0.21 0.36 1.34 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.109 | V 0.005 | pL 13.250
U 52 | F 006656 | FPS 0157 | D 39 | rR:μσmM 0.71 0.48 -0.91 1.16 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.089 | V 0.006 | pL 14.500
U 53 | F 006784 | FPS 0185 | D 40 | rR:μσmM 0.86 0.34 0.13 1.47 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.108 | V 0.004 | pL 15.000
U 54 | F 006912 | FPS 0177 | D 41 | rR:μσmM 0.96 0.24 0.52 1.35 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.120 | V 0.004 | pL 15.000
U 55 | F 007040 | FPS 0220 | D 41 | rR:μσmM 1.04 0.15 0.80 1.33 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.130 | V 0.003 | pL 15.000
U 56 | F 007168 | FPS 0183 | D 42 | rR:μσmM 0.99 0.20 0.59 1.25 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.124 | V 0.003 | pL 15.000
U 57 | F 007296 | FPS 0178 | D 43 | rR:μσmM 0.93 0.24 0.43 1.42 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.117 | V 0.003 | pL 15.000
U 58 | F 007424 | FPS 0198 | D 43 | rR:μσmM 0.93 0.18 0.56 1.17 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.117 | V 0.003 | pL 15.000
U 59 | F 007552 | FPS 0173 | D 44 | rR:μσmM 1.01 0.21 0.46 1.36 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.126 | V 0.004 | pL 15.000
U 60 | F 007680 | FPS 0175 | D 45 | rR:μσmM 1.11 0.19 0.72 1.42 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.139 | V 0.002 | pL 15.000
U 61 | F 007808 | FPS 0179 | D 45 | rR:μσmM 1.15 0.25 0.82 1.98 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.144 | V 0.003 | pL 15.000
U 62 | F 007936 | FPS 0189 | D 46 | rR:μσmM 1.15 0.20 0.79 1.57 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.143 | V 0.002 | pL 15.000
U 63 | F 008064 | FPS 0176 | D 47 | rR:μσmM 1.18 0.19 0.84 1.52 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.148 | V 0.002 | pL 15.500
U 64 | F 008192 | FPS 0200 | D 47 | rR:μσmM 1.05 0.21 0.78 1.62 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.131 | V 0.003 | pL 16.000
U 65 | F 008320 | FPS 0163 | D 48 | rR:μσmM 1.13 0.19 0.87 1.66 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.142 | V 0.002 | pL 17.000
U 66 | F 008448 | FPS 0166 | D 49 | rR:μσmM 1.10 0.24 0.58 1.40 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.137 | V 0.003 | pL 18.625
U 67 | F 008576 | FPS 0188 | D 50 | rR:μσmM 0.97 0.20 0.63 1.39 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.122 | V 0.002 | pL 20.750
U 68 | F 008704 | FPS 0203 | D 50 | rR:μσmM 1.03 0.22 0.71 1.42 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.129 | V 0.003 | pL 22.000
U 69 | F 008832 | FPS 0164 | D 51 | rR:μσmM 0.96 0.25 0.60 1.53 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.120 | V 0.002 | pL 22.000
U 70 | F 008960 | FPS 0185 | D 52 | rR:μσmM 0.95 0.21 0.51 1.25 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.119 | V 0.002 | pL 22.000
U 71 | F 009088 | FPS 0171 | D 53 | rR:μσmM 0.81 0.25 0.25 1.11 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.102 | V 0.003 | pL 22.000
U 72 | F 009216 | FPS 0187 | D 53 | rR:μσmM 0.85 0.47 -0.16 1.52 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.107 | V 0.003 | pL 22.000
U 73 | F 009344 | FPS 0165 | D 54 | rR:μσmM 0.96 0.20 0.51 1.29 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.120 | V 0.002 | pL 22.000
U 74 | F 009472 | FPS 0197 | D 55 | rR:μσmM 0.92 0.18 0.49 1.21 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.115 | V 0.002 | pL 22.000
U 75 | F 009600 | FPS 0180 | D 55 | rR:μσmM 0.90 0.28 0.26 1.38 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.112 | V 0.002 | pL 22.000
U 76 | F 009728 | FPS 0198 | D 56 | rR:μσmM 0.94 0.30 0.28 1.34 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.118 | V 0.001 | pL 22.000
U 77 | F 009856 | FPS 0175 | D 57 | rR:μσmM 0.87 0.29 0.24 1.17 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.109 | V 0.002 | pL 22.000
U 78 | F 009984 | FPS 0171 | D 58 | rR:μσmM 1.00 0.16 0.66 1.24 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.125 | V 0.001 | pL 22.000
U 79 | F 010112 | FPS 0204 | D 58 | rR:μσmM 1.00 0.16 0.70 1.26 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.126 | V 0.001 | pL 22.000
U 80 | F 010240 | FPS 0160 | D 59 | rR:μσmM 0.97 0.12 0.75 1.17 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.121 | V 0.001 | pL 22.000
U 81 | F 010368 | FPS 0189 | D 60 | rR:μσmM 1.05 0.14 0.80 1.39 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.131 | V 0.001 | pL 22.000
U 82 | F 010496 | FPS 0174 | D 60 | rR:μσmM 0.87 0.18 0.60 1.16 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.109 | V 0.001 | pL 22.000
U 83 | F 010624 | FPS 0195 | D 61 | rR:μσmM 0.81 0.21 0.50 1.17 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.102 | V 0.002 | pL 22.000
U 84 | F 010752 | FPS 0226 | D 62 | rR:μσmM 0.98 0.21 0.65 1.37 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.122 | V 0.001 | pL 22.000
U 85 | F 010880 | FPS 0185 | D 62 | rR:μσmM 0.85 0.19 0.59 1.13 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.106 | V 0.001 | pL 22.000
U 86 | F 011008 | FPS 0179 | D 63 | rR:μσmM 0.96 0.18 0.55 1.13 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.120 | V 0.001 | pL 22.000
U 87 | F 011136 | FPS 0181 | D 64 | rR:μσmM 0.88 0.17 0.55 1.21 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.109 | V 0.001 | pL 22.000
U 88 | F 011264 | FPS 0204 | D 64 | rR:μσmM 0.79 0.24 0.13 1.07 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.099 | V 0.001 | pL 22.000
U 89 | F 011392 | FPS 0174 | D 65 | rR:μσmM 0.82 0.24 0.37 1.29 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.103 | V 0.002 | pL 22.000
U 90 | F 011520 | FPS 0161 | D 66 | rR:μσmM 0.82 0.28 -0.08 1.04 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.102 | V 0.001 | pL 22.000
U 91 | F 011648 | FPS 0155 | D 67 | rR:μσmM 0.80 0.23 0.24 1.05 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.100 | V 0.001 | pL 22.000
U 92 | F 011776 | FPS 0182 | D 67 | rR:μσmM 0.92 0.28 0.10 1.37 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.115 | V 0.000 | pL 22.000
U 93 | F 011904 | FPS 0173 | D 68 | rR:μσmM 0.84 0.23 0.48 1.07 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.104 | V 0.001 | pL 22.000
U 94 | F 012032 | FPS 0168 | D 69 | rR:μσmM 0.80 0.36 -0.00 1.11 | F:μσmM 8.0 0.0 8.0 8.0 | H 0.100 | V 0.001 | pL 22.000
